券商,買張,賣張,買賣超,均買價,均賣價
1470台灣摩根,848,9989,-9141,211.71,211.07
1440美林,477,8654,-8177,211.28,211.4
1650瑞銀,163,5295,-5132,210.74,211.11
8440摩根大通,562,5686,-5124,212.41,210.98
1480美商高盛,1075,4233,-3158,211.06,211.24
9268凱基台北,1336,3768,-2432,210.77,211.6
9800元大,2946,5151,-2205,211.63,211.24
8880國泰綜合,89,2115,-2026,210.93,210.59
9A81永豐匯立,617,1715,-1098,210.0,211.07
9A00永豐金,1200,2197,-997,210.86,211.69
