母券商,回轉股數(FIFO),回轉張數(FIFO),已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),買股數(全日),賣股數(全日),均買價(全日),均賣價(全日),相抵後_買股數,相抵後_買張數,相抵後_買均價,相抵後_賣股數,相抵後_賣張數,相抵後_賣均價,期末淨部位(股),期末淨部位方向,期末部位均價
臺銀,154374,154,127976,25214,47490,55272,154374,425858,204.26,205.65,0,0,,271484,271,205.96,-271484,空,205.96
企銀,40607,41,72418,6652,12559,53207,40607,110843,204.4,205.48,0,0,,70236,70,205.07,-70236,空,205.07
宏遠,41260,41,49434,6770,12764,29900,41260,94106,205.03,205.68,0,0,,52846,53,205.26,-52846,空,205.26
永全,7000,7,19122,1141,2159,15821,7000,33408,202.93,204.94,0,0,,26408,26,204.74,-26408,空,204.74
德信,9030,9,18425,1478,2792,14154,9030,15010,204.12,206.1,0,0,,5980,6,206.01,-5980,空,206.01
光和,6000,6,16450,984,1861,13605,6000,10970,204.08,206.72,0,0,,4970,5,206.59,-4970,空,206.59
6110台中銀,18115,18,21595,2917,5500,13178,18115,56320,201.2,204.29,0,0,,38205,38,205.2,-38205,空,205.2
北城,5010,5,9515,810,1529,7176,5010,36100,201.6,206.1,0,0,,31090,31,206.52,-31090,空,206.52
大昌安康,3000,3,8000,492,930,6578,4000,3000,204.88,206.67,1000,1,207.5,0,0,,1000,多,207.5
光和花壇,6000,6,8500,972,1833,5695,6000,11100,202.25,204.85,0,0,,5100,5,206.24,-5100,空,206.24
日茂南投,3000,3,6000,491,928,4581,3000,3000,204.17,206.17,0,0,,0,0,,0,平,
宏遠新化,12150,12,10150,1985,3740,4425,12150,14000,204.35,205.43,0,0,,1850,2,207.0,-1850,空,207.0
日茂,2000,2,5000,324,613,4063,2000,5000,201.75,205.9,0,0,,3000,3,207.0,-3000,空,207.0
永興水湳,3000,3,5470,493,931,4045,3000,6010,205.17,207.16,0,0,,3010,3,207.33,-3010,空,207.33
宏遠光隆,4034,4,4407,650,1225,2532,4034,17100,201.41,205.73,0,0,,13066,13,206.72,-13066,空,206.72
日茂埔里,1000,1,3000,162,307,2531,1000,2000,201.5,205.25,0,0,,1000,1,206.0,-1000,空,206.0
致和佳里,1000,1,2440,163,307,1970,1000,4030,202.5,206.47,0,0,,3030,3,206.98,-3030,空,206.98
中農,8100,8,5300,1327,2498,1475,8100,10500,204.93,206.11,0,0,,2400,2,207.92,-2400,空,207.92
法銀巴黎,0,0,0,0,0,0,0,11000,,206.18,0,0,,11000,11,206.18,-11000,空,206.18
?亞,0,0,0,0,0,0,0,1000,,207.5,0,0,,1000,1,207.5,-1000,空,207.5
寶盛,0,0,0,0,0,0,1000,0,205.0,,1000,1,205.0,0,0,,1000,多,205.0
港麥格理,0,0,0,0,0,0,0,77000,,203.95,0,0,,77000,77,203.95,-77000,空,203.95
盈溢,0,0,0,0,0,0,0,1000,,203.0,0,0,,1000,1,203.0,-1000,空,203.0
光和田中,0,0,0,0,0,0,0,9030,,206.83,0,0,,9030,9,206.83,-9030,空,206.83
盈溢籬子內,0,0,0,0,0,0,0,1000,,202.5,0,0,,1000,1,202.5,-1000,空,202.5
永興,2700,3,395,444,835,-885,2700,4335,206.11,206.91,0,0,,1635,2,208.0,-1635,空,208.0
高橋內壢,1000,1,-500,161,302,-963,1000,11000,202.0,204.05,0,0,,10000,10,204.3,-10000,空,204.3
致和,6300,6,1600,1031,1939,-1370,6300,17400,204.91,206.1,0,0,,11100,11,206.62,-11100,空,206.62
彰銀七賢,1100,1,-900,181,340,-1421,1100,12000,206.95,208.21,0,0,,10900,11,208.42,-10900,空,208.42
安泰大發,2000,2,-550,329,618,-1497,3300,2000,206.95,206.0,1300,1,208.0,0,0,,1300,多,208.0
日進,300,0,-1400,49,91,-1541,300,2000,207.67,205.5,0,0,,1700,2,205.94,-1700,空,205.94
上海匯豐,4000,4,0,661,1242,-1903,4000,200000,207.0,207.34,0,0,,196000,196,207.34,-196000,空,207.34
光和溪湖,1000,1,-2000,163,304,-2467,1000,48800,205.0,204.72,0,0,,47800,48,204.75,-47800,空,204.75
亞東,11635,12,1618,1899,3571,-3852,11635,64283,204.47,205.45,0,0,,52648,53,205.64,-52648,空,205.64
福勝,4000,4,-2000,652,1223,-3875,4000,12000,204.38,205.46,0,0,,8000,8,206.25,-8000,空,206.25
致和府前,2000,2,-3000,329,616,-3946,2000,3070,207.0,205.99,0,0,,1070,1,206.9,-1070,空,206.9
光和和美,1000,1,-3500,164,306,-3970,1000,2025,207.5,205.49,0,0,,1025,1,206.95,-1025,空,206.95
福邦,7000,7,-1000,1148,2157,-4305,13000,7000,206.12,205.43,6000,6,206.75,0,0,,6000,多,206.75
致和金華,2000,2,-5500,326,609,-6435,2000,4000,205.75,204.12,0,0,,2000,2,205.25,-2000,空,205.25
致和崇德,7000,7,-4000,1138,2137,-7275,7000,59100,204.07,204.62,0,0,,52100,52,204.77,-52100,空,204.77
永興大墩,1000,1,-7000,162,300,-7462,1000,2000,207.0,203.0,0,0,,1000,1,206.0,-1000,空,206.0
中銀,35355,35,8765,5769,10850,-7853,35355,81460,204.34,205.2,0,0,,46105,46,205.67,-46105,空,205.67
德信和平,2000,2,-7500,325,606,-8431,2000,7000,205.75,204.71,0,0,,5000,5,205.8,-5000,空,205.8
永全南崁,12151,12,-3658,1976,3711,-9345,12151,18000,203.89,204.89,0,0,,5849,6,207.59,-5849,空,207.59
?亞網路,3150,3,-8425,516,963,-9903,11250,3150,206.89,203.77,8100,8,207.06,0,0,,8100,多,207.06
彰銀,8515,9,-7220,1376,2581,-11177,8515,60510,202.94,205.34,0,0,,51995,52,205.87,-51995,空,205.87
台企建成,5000,5,-11000,822,1536,-13358,5000,12000,207.0,204.92,0,0,,7000,7,205.0,-7000,空,205.0
臺銀金山,2056,2,-12634,332,615,-13582,2056,33403,205.69,206.1,0,0,,31347,31,206.54,-31347,空,206.54
陽信石牌,4000,4,-13500,650,1212,-15362,4000,22030,205.38,203.89,0,0,,18030,18,204.3,-18030,空,204.3
新光,600309,600,267354,98144,184681,-15470,600309,781518,204.65,205.17,0,0,,181209,181,205.43,-181209,空,205.43
大展,9000,9,-12725,1473,2760,-16958,9000,19350,205.83,205.7,0,0,,10350,10,206.82,-10350,空,206.82
陽信,9000,9,-15320,1471,2754,-19545,9000,20180,205.67,205.22,0,0,,11180,11,206.24,-11180,空,206.24
d?亞鑫豐,5560,6,-17252,910,1697,-19858,5560,65340,206.59,205.47,0,0,,59780,60,205.65,-59780,空,205.65
大昌,35160,35,-7055,5741,10786,-23583,35160,95575,204.72,204.99,0,0,,60415,60,205.26,-60415,空,205.26
高橋,24000,24,-13925,3930,7376,-25231,24000,66850,205.48,204.95,0,0,,42850,43,204.98,-42850,空,204.98
致和東門,4000,4,-26500,653,1207,-28359,4000,5000,207.75,201.9,0,0,,1000,1,205.0,-1000,空,205.0
聯邦,60322,60,-6612,9865,18538,-35015,60322,148597,204.99,205.37,0,0,,88275,88,205.7,-88275,空,205.7
新百王,10070,10,-30775,1641,3061,-35477,10070,20130,205.71,204.35,0,0,,10060,10,206.05,-10060,空,206.05
康和,209450,209,49028,34274,64461,-49707,338224,209450,205.31,205.18,128774,129,205.92,0,0,,128774,多,205.92
中信,33480,33,-34175,5467,10251,-49893,33480,54676,205.14,204.94,0,0,,21196,21,206.23,-21196,空,206.23
美好,92400,92,-36392,15116,28387,-79895,92400,133334,205.2,204.81,0,0,,40934,41,204.8,-40934,空,204.8
玉山,462684,463,55114,75562,142075,-162523,462684,829471,204.59,205.03,0,0,,366787,367,205.44,-366787,空,205.44
群益,852321,852,216590,139513,262405,-185327,852321,1253872,204.99,205.16,0,0,,401551,402,204.98,-401551,空,204.98
花旗環球,62000,62,-223500,10074,18768,-252342,62000,554964,205.41,204.03,0,0,,492964,493,204.31,-492964,空,204.31
中信託,166638,167,-181080,27291,51163,-259534,166638,249226,205.77,204.94,0,0,,82588,83,205.44,-82588,空,205.44
兆豐,647266,647,9494,105672,198638,-294815,647266,1075859,204.58,204.81,0,0,,428593,429,205.14,-428593,空,205.14
港商野村,153000,153,-236000,25092,46988,-308079,308000,153000,206.64,204.74,155000,155,207.0,0,0,,155000,多,207.0
國票,472577,473,-202815,77369,145279,-425463,1097717,472577,205.87,204.95,625140,625,206.24,0,0,,625140,多,206.24
永豐,1509503,1510,155292,247304,464973,-556985,1509503,1823304,205.25,205.39,0,0,,313801,314,205.54,-313801,空,205.54
統一,789514,790,-232150,129258,242792,-604200,789514,1671550,205.31,205.41,0,0,,882036,882,205.77,-882036,空,205.77
台新,812141,812,-275038,132858,249526,-657422,812141,942834,205.17,204.94,0,0,,130693,131,205.61,-130693,空,205.61
國泰,1539236,1539,-378040,251893,473199,-1103133,1539236,1615762,205.2,205.05,0,0,,76526,77,207.03,-76526,空,207.03
富邦,1387715,1388,-510182,227113,426521,-1163817,1387715,3003643,205.27,205.07,0,0,,1615928,1616,205.22,-1615928,空,205.22
元大,5248897,5249,575126,858689,1614508,-1898070,5248897,6476436,204.95,205.03,0,0,,1227539,1228,204.92,-1227539,空,204.92
凱基,2858950,2859,-1145810,466651,876304,-2488764,2858950,4213118,204.74,205.19,0,0,,1354168,1354,206.99,-1354168,空,206.99
