母券商,買股數(全日),賣股數(全日),買超股數,買超張數,賣超股數,賣超張數,回轉張數(FIFO),已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),期末淨部位(股),期末淨部位方向,均買價(全日),均賣價(全日)
富邦,1387715,3003643,-1615928,-1616,1615928,1616,1388,-510182,227113,426521,-1163817,-1615928,空,205.27,205.07
凱基,2858950,4213118,-1354168,-1354,1354168,1354,2859,-1145810,466651,876304,-2488764,-1354168,空,204.74,205.19
元大,5248897,6476436,-1227539,-1228,1227539,1228,5249,575126,858689,1614508,-1898070,-1227539,空,204.95,205.03
統一,789514,1671550,-882036,-882,882036,882,790,-232150,129258,242792,-604200,-882036,空,205.31,205.41
花旗環球,62000,554964,-492964,-493,492964,493,62,-223500,10074,18768,-252342,-492964,空,205.41,204.03
兆豐,647266,1075859,-428593,-429,428593,429,647,9494,105672,198638,-294815,-428593,空,204.58,204.81
華南,499088,918402,-419314,-419,419314,419,499,603758,81756,154129,367873,-419314,空,204.67,205.5
群益,852321,1253872,-401551,-402,401551,402,852,216590,139513,262405,-185327,-401551,空,204.99,205.16
元富,464901,842721,-377820,-378,377820,378,465,349379,75895,142922,130562,-377820,空,204.2,205.23
玉山,462684,829471,-366787,-367,366787,367,463,55114,75562,142075,-162523,-366787,空,204.59,205.03
