券商,買張,賣張,買賣超,均買價,均賣價
6167中信松江,8,6,2,204.62,206.17
8584聯邦雙和,8,6,2,206.69,202.75
9236凱基虎尾,8,6,2,206.56,203.16
7006兆豐台南,7,5,2,205.07,205.19
638D光和高雄,4,2,2,203.88,205.5
9297凱基文心,4,2,2,205.92,202.68
1261宏遠民生,3,1,2,206.64,206.08
9314華南嘉義,3,1,2,201.75,207.3
2186亞東高雄,2,0,2,205.95,
9B2n元富西松,38,37,1,203.9,206.34
9878元大金華,31,30,1,201.18,204.39
102F合庫西台,29,28,1,204.44,204.79
9897元大土城,27,26,1,204.83,205.64
981z元大大統,22,21,1,204.05,202.72
884H玉山新竹,21,20,1,205.03,206.07
961Y富邦屏東,17,16,1,205.99,204.17
700c兆豐民生,13,12,1,205.65,207.12
700s兆豐岡山,13,12,1,205.31,206.79
5381第一員林,12,11,1,204.58,204.94
9B2L元富中壢,10,9,1,203.16,204.49
9824元大向上,8,7,1,203.63,206.22
700w兆豐新莊,6,5,1,205.91,205.68
9288凱基埔墘,6,5,1,203.75,205.69
6462大昌安康,4,3,1,204.88,206.67
8381安泰大發,3,2,1,206.95,206.0
8450康和,3,2,1,206.17,207.17
1119企銀岡山,2,1,1,205.75,207.0
7798國票內壢,2,1,1,207.75,207.92
845X康和屏東,2,1,1,204.5,203.5
8713陽信高雄,2,1,1,208.0,201.0
9218凱基大直,2,1,1,205.0,205.96
1036土銀玉里,1,0,1,201.0,201.5
5460寶盛,1,0,1,205.0,
6116中銀高雄,1,0,1,203.0,
8715陽信台中,1,0,1,206.5,
9B00元富證券,51,51,0,204.62,205.5
9205凱基三重,41,41,0,202.15,205.05
9692富邦嘉義,33,33,0,205.41,204.7
989D元大左營,32,32,0,202.7,205.86
9B2q元富屏東,30,30,0,205.16,203.08
5385第一桃園,22,22,0,203.52,204.94
9815元大大灣,19,19,0,206.52,205.66
9188群益三民,14,14,0,204.26,205.23
9B29元富台南,12,12,0,203.33,203.5
9138群益中港,8,8,0,204.44,205.56
984E元大南勢,8,8,0,204.32,205.83
9316華南淡水,7,7,0,204.07,204.37
981N元大金門,7,7,0,204.16,205.78
526A美好中和,6,6,0,202.58,206.25
779m國票中港,6,6,0,205.83,207.42
9697富邦虎尾,6,6,0,206.1,205.08
9B2S元富基隆,6,6,0,206.54,204.75
9B2w元富佳里,6,6,0,206.25,206.09
7030致和,5,5,0,204.61,205.09
779j國票和平,4,4,0,205.5,205.65
918B群益板橋,4,4,0,205.62,204.59
9315華南大甲,4,4,0,201.75,203.95
5962日茂南投,3,3,0,204.17,206.17
6463大昌新竹,3,3,0,205.5,207.31
5322高橋中壢,2,2,0,201.5,206.17
6913德信新營,2,2,0,201.75,206.74
700b兆豐中壢,2,2,0,204.75,205.5
8588聯邦台南,2,2,0,205.54,206.63
5603永興台中,1,1,0,206.5,208.0
9281凱基斗六,1,1,0,207.0,205.86
1032土銀台南,0,0,0,,207.0
111F企銀北高,0,0,0,204.0,208.0
5264美好高雄,0,0,0,,205.0
989m元大信義,48,49,-1,206.87,206.88
9105群益高盛,34,35,-1,206.22,205.43
981B元大竹北,33,34,-1,206.25,205.21
9852元大永春,33,34,-1,202.99,205.62
9337華南內壢,26,27,-1,204.53,206.29
9187群益彰化,19,20,-1,205.8,204.13
9215凱基高美,18,19,-1,205.04,204.97
1025合庫基隆,10,11,-1,205.7,204.38
585A統一基隆,10,11,-1,204.2,204.77
8490京城,10,11,-1,205.65,206.88
1115企銀太平,9,10,-1,205.89,204.1
5386第一彰化,9,10,-1,205.45,207.45
700L兆豐天母,8,9,-1,205.32,205.09
9366華南豐原,8,9,-1,204.57,204.44
779n國票南京,6,7,-1,206.42,204.07
9287凱基內湖,6,7,-1,205.58,205.11
913E群益基隆,5,6,-1,206.51,202.71
983M元大木柵,5,6,-1,204.55,207.75
9B2X元富草屯,5,6,-1,204.7,207.08
7035致和東門,4,5,-1,207.75,201.9
779V國票天祥,4,5,-1,205.25,203.2
8451康和延平,3,4,-1,202.53,206.25
8582聯邦嘉義,3,4,-1,206.25,203.25
9B2Y元富埔里,3,4,-1,202.0,206.18
111G企銀埔墘,2,3,-1,203.75,204.67
5600永興,2,3,-1,205.88,206.59
585Q統一三多,2,3,-1,205.0,207.0
585b統一內湖,2,3,-1,203.0,206.23
700D兆豐西螺,2,3,-1,206.5,203.67
700F兆豐虎尾,2,3,-1,200.0,207.5
700J兆豐公益,2,3,-1,204.77,204.25
7033致和府前,2,3,-1,207.0,205.99
9B2U元富宜蘭,2,3,-1,205.05,206.53
1033土銀高雄,1,2,-1,206.5,208.0
5604永興大墩,1,2,-1,207.0,203.0
5961日茂埔里,1,2,-1,201.5,205.25
6383光和和美,1,2,-1,207.5,205.49
638A光和嘉義,1,2,-1,205.0,207.0
8456康和新竹,1,2,-1,208.3,203.75
982F元大忠鼎,1,2,-1,201.39,206.5
1037土銀花蓮,0,1,-1,,204.5
585W統一金門,0,1,-1,,205.0
5861盈溢籬子內,0,1,-1,,202.5
5862盈溢楠梓,0,1,-1,,203.0
6010?亞,0,1,-1,,207.5
6480福邦,0,1,-1,,207.0
8714陽信台南,0,1,-1,,206.5
888N國泰新竹,0,1,-1,200.0,202.0
9A9g永豐內湖,104,106,-2,206.58,202.27
7003兆豐台中,41,43,-2,206.64,205.88
845S康和南崁,29,31,-2,206.05,206.7
9339華南竹北,21,23,-2,205.03,206.89
9226凱基汐止,16,18,-2,206.31,206.63
9291凱基大安,16,18,-2,206.17,206.03
9135群益東大,15,17,-2,207.27,205.97
9B2H元富信義,13,15,-2,205.53,204.08
126X宏遠新化,12,14,-2,204.35,205.43
9B2N元富虎尾,12,14,-2,203.75,205.03
1262宏遠桃園,9,11,-2,204.5,205.61
126H宏遠中和,8,10,-2,205.56,204.1
8520中農,8,10,-2,204.93,206.11
9306華南台南,7,9,-2,205.62,203.62
9892元大屏東,7,9,-2,205.28,204.49
918H群益中山,6,8,-2,205.67,204.53
9846元大大直,6,8,-2,205.27,203.09
7008兆豐三重,5,7,-2,204.8,206.57
981K元大林園,5,7,-2,204.64,206.64
9237凱基敦北,4,6,-2,207.23,204.52
965U富邦彰化,4,6,-2,205.15,205.84
5263美好泰山,3,5,-2,203.36,205.56
6912德信中正,3,5,-2,205.17,205.1
913I群益萬華,3,5,-2,207.26,203.7
984H元大景美,3,5,-2,205.17,205.97
1111企銀台中,2,4,-2,205.0,205.88
7034致和金華,2,4,-2,205.75,204.12
9209凱基岡山,2,4,-2,207.0,206.25
920Z凱基台東,2,4,-2,206.0,205.61
9B2c元富烏日,2,4,-2,206.75,205.38
5265美好苗栗,1,3,-2,207.0,204.67
5267美好基隆,1,3,-2,201.5,205.83
9103群益松山,1,3,-2,205.5,206.24
920D凱基市府,1,3,-2,207.17,206.91
1035土銀新竹,0,2,-2,,202.5
1038土銀和平,0,2,-2,,207.0
1039土銀士林,0,2,-2,,206.0
103A土銀建國,0,2,-2,,205.83
2185亞東台南,0,2,-2,,203.75
5058大展台南,0,2,-2,,204.75
5660日進,0,2,-2,207.67,205.5
700X兆豐永和,0,2,-2,,207.0
985F元大岡山,0,2,-2,202.0,207.79
779P國票九鼎,134,137,-3,205.21,205.1
980a元大中北,19,22,-3,206.19,206.44
9329華南朴子,18,21,-3,205.16,206.25
538j第一安和,15,18,-3,205.17,205.31
585B統一永和,14,17,-3,205.5,205.29
815H台新屏東,14,17,-3,203.46,204.81
585R統一東湖,13,16,-3,202.38,204.53
700R兆豐小港,10,13,-3,203.33,205.04
5389第一中山,8,11,-3,204.19,205.77
616A中信中壢,8,11,-3,204.29,206.19
700g兆豐南門,8,11,-3,205.83,205.65
102C合庫自強,7,10,-3,205.43,205.52
779D國票台南,7,10,-3,203.93,202.33
922C凱基屏東,7,10,-3,202.93,206.53
1114企銀嘉義,6,9,-3,204.08,205.33
126Q宏遠高雄,5,8,-3,203.01,204.36
9319華南鶯歌,5,8,-3,205.97,204.87
983f元大竹東,5,8,-3,205.29,205.98
126L宏遠台中,4,7,-3,205.62,205.16
8587聯邦興中,4,7,-3,202.17,205.37
918i群益竹南,4,7,-3,205.12,203.63
918x群益延平,4,7,-3,205.93,207.43
9312華南民權,4,7,-3,206.38,206.48
1028合庫彰化,3,6,-3,204.67,205.92
103B土銀彰化,3,6,-3,207.0,204.25
5602永興水湳,3,6,-3,205.17,207.16
9252凱基嘉義,3,6,-3,205.34,205.47
1113企銀九如,2,5,-3,204.0,206.6
2187亞東台中,2,5,-3,204.46,203.6
5960日茂,2,5,-3,201.75,205.9
9358華南東勢,2,5,-3,204.52,202.91
9A61永豐鳳山,2,5,-3,205.76,205.8
700j兆豐大安,1,4,-3,202.82,204.88
7032致和佳里,1,4,-3,202.5,206.47
7795國票南港,1,4,-3,204.0,204.49
1112企銀台南,0,3,-3,,205.09
1230彰銀,0,3,-3,201.0,204.17
2181亞東板橋,0,3,-3,,204.33
7031致和台北,0,3,-3,,205.5
845E康和澎湖,0,3,-3,,205.67
918P群益天母,0,3,-3,205.6,205.0
9325華南忠孝,0,3,-3,,205.67
9189群益桃園,24,28,-4,205.71,205.09
981e元大佳里,17,21,-4,205.15,205.49
9693富邦新營,14,18,-4,204.96,205.41
9101群益敦南,11,15,-4,206.92,205.9
8459康和嘉義,10,14,-4,203.39,205.87
9207凱基永和,10,14,-4,204.25,204.6
913D群益潭子,9,13,-4,204.44,205.92
989k元大古亭,9,13,-4,203.94,204.37
9A9d永豐古亭,9,13,-4,205.27,205.21
884C玉山信義,8,12,-4,205.81,206.43
921C凱基民權,8,12,-4,205.83,205.11
9274凱基鳳山,8,12,-4,203.62,205.39
585Y統一土城,6,10,-4,206.75,206.05
9185群益台南,6,10,-4,206.07,206.51
980R元大南海,6,10,-4,201.0,205.42
6910德信,4,8,-4,204.51,206.56
9296凱基頭份,4,8,-4,205.25,204.39
103F土銀南港,3,7,-4,203.0,203.57
111E企銀桃園,3,7,-4,203.09,205.11
779G國票新莊,3,7,-4,205.5,205.41
920W凱基大里,3,7,-4,202.84,205.7
988C元大三重,3,7,-4,206.83,204.26
126D宏遠台南,2,6,-4,204.0,206.25
9231凱基員林,2,6,-4,206.75,202.2
9334華南世貿,2,6,-4,203.75,205.78
9B2i元富中港,2,6,-4,205.25,205.91
1118企銀豐原,1,5,-4,204.0,205.0
7038致和南京,1,5,-4,206.5,207.27
1031土銀台中,0,4,-4,202.0,204.97
7036致和高雄,0,4,-4,,206.32
9349華南板橋,21,26,-5,204.69,204.37
845A康和內湖,19,24,-5,205.03,205.34
989I元大蘆中,18,23,-5,205.59,205.44
7791國票台東,16,21,-5,204.0,204.9
9A9Z永豐復興,16,21,-5,202.12,205.15
9254凱基科園,15,20,-5,205.47,205.24
845D康和板橋,14,19,-5,206.04,204.91
9838元大豐原,14,19,-5,203.77,204.79
6461大昌樹林,12,17,-5,203.75,204.65
585P統一板橋,10,15,-5,203.95,203.88
983V元大竹南,10,15,-5,203.6,205.65
981R元大竹山,9,14,-5,204.94,206.33
9B2o元富新興,9,14,-5,204.02,203.72
6168中信嘉義,8,13,-5,204.94,205.19
9B23元富三重,8,13,-5,205.51,206.38
9B25元富台中,7,12,-5,203.6,205.2
6385光和花壇,6,11,-5,202.25,204.85
9324華南岡山,6,11,-5,205.12,204.66
5855統一台南,5,10,-5,206.19,206.87
102A合庫新竹,4,9,-5,205.13,204.86
700i兆豐松德,4,9,-5,205.82,206.54
918D群益東門,4,9,-5,204.27,204.77
921S凱基新莊,4,9,-5,202.71,205.06
989X元大三民,4,9,-5,205.13,205.91
538I第一頭份,3,8,-5,203.0,203.52
9307華南大安,3,8,-5,204.33,204.44
9879元大板三,3,8,-5,204.04,204.68
5851統一高雄,2,7,-5,206.0,206.07
6915德信和平,2,7,-5,205.75,204.71
1034土銀嘉義,1,6,-5,206.25,204.4
888A國泰館前,87,93,-6,204.83,204.45
9874元大雙和,21,27,-6,205.68,205.82
9A9e永豐高雄,21,27,-6,204.74,205.88
961N富邦青埔,18,24,-6,205.41,205.18
102E合庫桃園,17,23,-6,206.47,206.84
989B元大中港,17,23,-6,204.55,205.45
981q元大萬華,15,21,-6,205.93,204.32
910D群益市府,14,20,-6,204.18,204.27
6451永全南崁,12,18,-6,203.89,204.89
700B兆豐板橋,11,17,-6,205.24,204.86
779u國票長城,11,17,-6,204.32,206.09
981X元大新生,9,15,-6,204.5,204.17
585E統一新營,8,14,-6,205.99,203.17
913R群益北高,8,14,-6,203.14,204.95
981p元大松山,8,14,-6,204.6,204.76
9872元大復北,8,14,-6,204.46,205.4
538P第一路竹,7,13,-6,206.32,204.64
9137群益士林,7,13,-6,206.15,205.9
918s群益丹鳳,7,13,-6,203.57,205.46
111A企銀民雄,6,12,-6,203.25,204.63
585F統一彰化,6,12,-6,205.17,205.83
9212凱基東港,6,12,-6,204.83,205.74
9204凱基台中,5,11,-6,204.06,206.46
9322華南基隆,5,11,-6,202.48,205.95
981Z元大潮州,5,11,-6,204.18,205.09
5383第一高雄,4,10,-6,205.38,205.87
5859統一屏東,4,10,-6,205.57,204.24
6465大昌桃園,4,10,-6,206.12,204.45
700f兆豐鹿港,4,10,-6,203.57,205.2
700M兆豐桃園,3,9,-6,204.39,204.14
7797國票中正,2,8,-6,206.19,204.21
779v國票台中,2,8,-6,200.67,205.32
983N元大大安,2,8,-6,207.75,205.17
6380光和,1,7,-6,204.0,206.99
6115中銀台北,0,6,-6,,204.75
913H群益屏東,0,6,-6,,204.73
9100群益,330,337,-7,204.74,205.41
9875元大永寧,36,43,-7,205.12,205.42
9614富邦基隆,33,40,-7,205.69,205.77
538A第一新興,24,31,-7,204.72,206.19
9309華南古亭,22,29,-7,204.39,207.06
981L元大莒光,22,29,-7,206.0,206.81
9616富邦岡山,17,24,-7,205.23,206.11
918c群益鳳山,16,23,-7,205.44,204.33
9667富邦台南,16,23,-7,205.42,206.44
585D統一新台中,14,21,-7,205.29,205.34
989U元大大甲,13,20,-7,205.2,205.1
9677富邦三重,12,19,-7,203.12,206.0
918L群益建成,10,17,-7,206.75,202.69
913U群益崇德,9,16,-7,204.23,204.21
779E國票南崁,8,15,-7,203.5,205.29
9183群益高雄,8,15,-7,205.19,205.02
9359華南中正,8,15,-7,201.4,205.62
982A元大羅東,8,15,-7,205.6,204.98
9A9Q永豐豐原,8,15,-7,204.15,205.6
9B2W元富吉利,8,15,-7,205.0,206.0
980u元大府城,7,14,-7,202.06,205.58
9B2m元富成功,7,14,-7,206.79,205.96
111B台企建成,5,12,-7,207.0,204.92
9A9Y永豐板盛,4,11,-7,205.06,205.77
920C凱基雙和,3,10,-7,205.0,205.73
921Y凱基東勢,2,9,-7,202.75,206.44
962B富邦二林,2,9,-7,207.51,205.76
920G凱基彰化,22,30,-8,205.43,204.27
5857統一新竹,17,25,-8,205.23,204.66
8848玉山嘉義,15,23,-8,205.54,204.26
981C元大路竹,15,23,-8,203.98,205.1
981Q元大太平,15,23,-8,204.58,204.53
9894元大桃興,14,22,-8,204.89,205.81
5266美好中壢,13,21,-8,205.88,204.12
9A91永豐松山,13,21,-8,202.26,204.86
5262美好楊梅,11,19,-8,205.23,205.11
1042臺銀臺南,10,18,-8,204.34,205.56
5320高橋,10,18,-8,205.6,205.59
5050大展,9,17,-8,205.83,205.81
9186群益新竹,9,17,-8,203.48,206.18
918C群益古亭,9,17,-8,206.29,205.52
981M元大苗栗,8,16,-8,206.08,204.26
918K群益東湖,7,15,-8,205.0,204.71
9829元大永康,7,15,-8,204.13,204.55
989f元大東港,7,15,-8,205.0,205.41
962G富邦斗六,6,14,-8,201.52,202.18
2184亞東新竹,5,13,-8,203.3,205.58
6450永全,5,13,-8,203.4,206.3
9347華南敦南,5,13,-8,205.94,205.23
6950福勝,4,12,-8,204.38,205.46
981n元大旗山,4,12,-8,205.32,205.03
9863元大和平,4,12,-8,206.12,205.18
9B21元富高雄,4,12,-8,204.88,206.36
9276凱基苗栗,3,11,-8,206.5,205.53
983B元大林森,3,11,-8,204.78,204.4
1024合庫嘉義,2,10,-8,204.98,206.12
585Z統一松江,2,10,-8,201.5,202.87
779r國票桃園,2,10,-8,206.75,204.42
845B康和永和,2,10,-8,204.5,206.3
9328華南潮州,2,10,-8,203.66,205.74
538F第一稻埕,1,9,-8,205.58,203.03
8583聯邦忠孝,1,9,-8,202.5,200.39
8840玉山,65,74,-9,203.78,205.24
6620口袋,44,53,-9,203.32,206.29
6165中信託新,38,47,-9,206.45,206.25
918A群益中壢,28,37,-9,203.81,205.28
9672富邦員林,18,27,-9,204.12,204.72
9817元大東泰,18,27,-9,206.89,204.9
989j元大樹林,18,27,-9,205.43,206.45
9862元大南京,17,26,-9,204.89,205.14
9A9G永豐天母,17,26,-9,203.69,205.43
611A中銀豐原,16,25,-9,204.34,204.88
1020合庫,15,24,-9,201.27,204.86
9A9L永豐台中,15,24,-9,203.79,205.43
989N元大內湖,14,23,-9,204.88,205.38
9B2l元富大裕,14,23,-9,204.77,205.68
961H富邦新板,12,21,-9,205.62,205.68
9625富邦竹東,12,21,-9,203.97,205.0
9A9P永豐竹北,12,21,-9,202.84,206.48
980Q元大南崁,11,20,-9,205.79,203.45
962Q富邦北高,9,18,-9,205.55,205.3
5387第一澎湖,8,17,-9,202.75,205.36
9B2u元富世貿,7,16,-9,205.56,205.45
815S台新中壢,5,14,-9,204.9,205.26
8586聯邦大業,5,14,-9,203.45,206.39
989e元大中和,5,14,-9,203.7,205.92
9B2B元富永和,5,14,-9,204.24,205.29
5268美好台南,4,13,-9,203.5,202.09
7007兆豐竹北,4,13,-9,204.18,205.33
700U兆豐桃鶯,3,12,-9,203.97,204.0
779H國票嘉義,3,12,-9,203.89,204.91
918G群益新莊,2,11,-9,206.5,205.23
9225凱基內埔,2,11,-9,206.55,206.55
9235凱基永華,2,11,-9,200.26,206.87
9888元大鑫永,2,11,-9,202.83,203.82
9386華南東昇,1,10,-9,208.14,205.84
962A富邦南港,1,10,-9,203.5,207.3
6382光和田中,0,9,-9,,206.83
1023合庫高雄,59,69,-10,202.32,205.17
8886國泰新莊,38,48,-10,204.38,205.59
989F元大高雄,37,47,-10,207.12,204.25
9634富邦羅東,34,44,-10,204.4,205.11
9332華南楠梓,30,40,-10,204.29,203.67
779J國票北高,23,33,-10,203.79,204.06
9A9h永豐台南,21,31,-10,204.96,205.47
982C元大六合,15,25,-10,205.5,205.92
9835元大中山,13,23,-10,205.44,204.03
8382安泰楠梓,12,22,-10,199.75,206.57
961P富邦和美,11,21,-10,203.94,204.95
980d元大沙鹿,11,21,-10,204.64,205.56
9A9i永豐新店,11,21,-10,203.55,204.36
9B2v元富桃園,11,21,-10,204.82,205.45
6210新百王,10,20,-10,205.71,204.35
962P富邦頭份,10,20,-10,204.28,204.58
980w元大西屯,10,20,-10,204.26,206.65
9B2r元富城東,10,20,-10,205.81,205.78
918E群益南京,9,19,-10,204.02,204.7
981I元大天母,7,17,-10,205.59,205.32
538B第一新竹,6,16,-10,203.94,206.16
538C第一光復,6,16,-10,206.45,200.88
981h元大屏生,6,16,-10,205.25,207.4
9275凱基三多,5,15,-10,206.17,206.47
9A9A永豐羅東,5,15,-10,204.6,205.25
983K元大學甲,3,13,-10,205.65,205.52
1116企銀屏東,2,12,-10,199.0,204.17
9B2E元富城中,2,12,-10,204.5,206.63
5323高橋內壢,1,11,-10,202.0,204.05
8585聯邦三重,1,11,-10,204.0,206.41
918d群益內湖,1,11,-10,207.09,204.2
921J凱基土城,1,11,-10,206.0,206.46
700N兆豐埔墘,68,79,-11,201.56,204.25
9A89永豐敦北,20,31,-11,204.19,205.53
984C元大新中,19,30,-11,206.92,203.8
987A元大楊梅,19,30,-11,204.42,205.29
5854統一城中,12,23,-11,204.6,206.41
981E元大發財,11,22,-11,205.86,205.79
980D元大北府,10,21,-11,204.53,204.87
9308華南麻豆,9,20,-11,206.53,205.03
9217凱基松山,8,19,-11,204.0,204.65
585M統一士林,7,18,-11,204.43,205.15
980h元大台北,6,17,-11,204.68,205.65
126U宏遠館前,5,16,-11,206.2,205.73
700W兆豐城中,5,16,-11,205.0,205.69
9A99永豐中壢,5,16,-11,204.1,204.17
9B28元富新莊,5,16,-11,204.5,205.31
9B2P元富同大,5,16,-11,206.11,205.8
966F富邦左營,4,15,-11,206.25,205.12
983W元大德芳,4,15,-11,203.91,204.85
983G元大上新,3,14,-11,206.0,205.97
1117企銀竹北,2,13,-11,206.25,206.62
1232彰銀七賢,1,12,-11,206.95,208.21
700k兆豐員林,1,12,-11,203.0,205.36
918M群益嘉義,1,12,-11,202.5,204.41
8900法銀巴黎,0,11,-11,,206.18
585m統一竹南,27,39,-12,207.06,204.54
961K富邦七賢,27,39,-12,204.46,206.71
884D玉山左營,26,38,-12,203.97,205.0
9867元大民權,24,36,-12,203.09,202.87
9A97永豐新竹,19,31,-12,203.75,205.46
989W元大站前,18,30,-12,204.32,205.93
9666富邦南屯,15,27,-12,205.85,204.21
102G合庫三重,14,26,-12,206.82,205.08
981G元大彰化,14,26,-12,205.24,203.42
9A9X永豐竹科,14,26,-12,204.79,204.99
9686富邦宜蘭,13,25,-12,205.78,206.04
9657富邦苗栗,11,23,-12,205.25,206.85
538E第一自由,10,22,-12,205.95,204.97
921M凱基八德,10,22,-12,204.42,205.66
920N凱基湖口,9,21,-12,206.49,205.44
9331華南鳳山,9,21,-12,204.78,205.62
9B2D元富大昌,8,20,-12,200.89,204.8
918W群益忠孝,7,19,-12,204.74,206.39
9837元大北港,7,19,-12,202.87,205.27
8710陽信,6,18,-12,204.75,205.39
9257凱基林口,4,16,-12,207.5,204.78
9A79永豐埔里,4,16,-12,205.97,205.25
9305華南新莊,1,13,-12,208.0,206.27
988V元大長庚,1,13,-12,207.85,206.16
845F康和仁愛,0,12,-12,,204.38
9898元大新莊,35,48,-13,205.43,205.79
9317華南林口,32,45,-13,205.45,206.47
9868元大文心,31,44,-13,205.27,205.9
989a元大苑裡,24,37,-13,204.85,203.5
981g元大大里,19,32,-13,206.49,205.12
981j元大士林,15,28,-13,205.64,204.01
9A69永豐屏東,12,25,-13,205.22,206.26
8157台新左楠,11,24,-13,205.48,205.37
1030土銀,6,19,-13,202.98,205.05
9A9B永豐中和,5,18,-13,204.4,204.67
126i宏遠光隆,4,17,-13,201.41,205.73
989P元大敦南,4,17,-13,204.29,204.63
983U元大頭份,3,16,-13,207.1,206.04
9A9r永豐北高,3,16,-13,204.38,204.39
920M凱基宜蘭,1,14,-13,207.5,204.87
920V凱基新店,0,13,-13,,205.98
8152台新新莊,22,36,-14,204.37,205.36
884B玉山台中,22,36,-14,204.39,205.57
9377華南虎尾,17,31,-14,206.18,204.86
989Z元大小港,15,29,-14,204.97,204.73
779Z國票安和,14,28,-14,205.58,205.27
985C元大鳳中,10,24,-14,205.56,206.01
981D元大南投,8,22,-14,206.24,204.84
921G凱基五股,7,21,-14,202.63,203.75
9362華南苗栗,7,21,-14,202.62,205.4
9816元大新竹,7,21,-14,203.58,204.33
700I兆豐北高,6,20,-14,206.88,203.64
9A9j永豐嘉義,4,18,-14,202.24,205.35
969C富邦北港,3,17,-14,205.67,205.92
845R康和石牌,2,16,-14,207.75,205.84
9B2I元富嘉義,1,15,-14,208.43,206.43
8846玉山板橋,67,82,-15,203.6,204.24
8562新光高雄,37,52,-15,204.43,205.17
9801元大松江,37,52,-15,205.5,206.47
981y元大善化,36,51,-15,204.29,205.35
980K元大竹科,22,37,-15,202.3,205.89
5852統一敦南,21,36,-15,203.44,204.53
983j元大仁愛,17,32,-15,203.77,204.66
9278凱基永康,12,27,-15,207.67,204.76
6161中信三重,9,24,-15,206.57,203.91
