券商,買張,賣張,買賣超,均買價,均賣價
1480美商高盛,4185,1307,2878,205.94,204.72
1470台灣摩根,3428,565,2863,205.1,204.48
1440美林,2129,508,1621,204.34,204.54
1650瑞銀,1930,622,1308,204.45,203.09
779c國票敦北,703,19,684,206.54,205.13
983Z元大鳳山,421,26,395,204.32,202.95
8887國泰忠孝,407,33,374,206.23,204.33
8440摩根大通,374,88,286,205.21,205.39
8455康和台中,229,11,218,205.1,202.23
6160中國信託,288,76,212,206.2,205.55
8158台新松江,199,38,161,206.61,205.72
1560港商野村,308,153,155,206.64,204.74
9A8F永豐敦南,287,144,143,205.48,207.32
8880國泰綜合,150,19,131,205.81,206.19
9800元大,2444,2344,100,205.11,205.27
5853統一中壢,122,32,90,205.08,205.11
9A00永豐金,406,320,86,205.53,205.82
7000兆豐,87,30,57,206.98,204.29
538M第一嘉義,58,3,55,205.19,206.35
9813元大八德,63,10,53,206.18,204.73
7792國票北投,56,5,51,203.37,202.6
8563新光新竹,114,65,49,205.82,204.93
9283凱基北門,122,76,46,202.86,206.61
9229凱基中山,75,29,46,203.35,205.26
700V兆豐新竹,52,8,44,202.64,205.58
103C土銀白河,46,2,44,201.96,202.5
585U統一南京,79,36,43,207.17,205.15
981U元大華山,51,8,43,207.9,208.31
700d兆豐彰化,61,20,41,206.7,204.07
7790國票綜合,55,18,37,204.41,206.3
9A81永豐匯立,36,0,36,207.0,
9352華南桃園,34,6,28,204.32,206.06
9A9R永豐信義,30,3,27,206.06,206.0
8885國泰桃園,106,83,23,205.53,205.23
963A富邦八德,46,25,21,206.08,205.18
9854元大興安,40,20,20,205.45,206.09
5260美好,28,8,20,206.13,203.81
982B元大博愛,57,40,17,204.62,206.29
538N第一豐原,55,39,16,204.34,205.86
700h兆豐三民,32,16,16,201.8,205.66
8564新光台南,43,29,14,204.18,205.67
9825元大新營,25,12,13,205.91,206.13
965K富邦台中,51,39,12,205.66,204.83
918X群益台北,12,0,12,207.0,
989g元大嘉義,35,24,11,204.72,206.03
9B2z元富文心,21,10,11,205.55,205.79
779X國票中和,19,8,11,205.05,206.68
980e元大清水,32,22,10,204.38,205.71
5858統一嘉義,20,10,10,205.48,205.56
9136群益西松,16,7,9,206.33,205.18
961R富邦南員,27,19,8,205.74,204.62
9369華南三重,12,4,8,206.67,205.01
6012?亞網路,11,3,8,206.89,203.77
1022合庫台南,23,16,7,205.92,204.47
918g群益大甲,15,8,7,201.01,205.04
6489福邦新竹,13,6,7,206.12,205.17
9B2C元富潮州,16,10,6,203.0,206.03
8380安泰,14,8,6,205.11,205.23
981r元大屏南,13,7,6,207.04,204.59
9831元大四維,39,34,5,204.2,204.27
700H兆豐東門,27,22,5,201.5,206.19
9B27元富林園,15,10,5,205.1,204.63
538D第一忠孝,12,7,5,204.38,203.67
981F元大福營,26,22,4,203.93,205.76
1043臺銀民權,25,21,4,206.68,205.9
5380第一金證,21,17,4,203.4,205.97
9A9C永豐員林,19,15,4,206.21,204.64
962D富邦新莊,17,13,4,205.06,203.33
700G兆豐麻豆,12,8,4,205.92,206.85
8458康和台南,12,8,4,207.99,203.81
989V元大北重,12,8,4,204.38,206.39
526K美好富順,11,7,4,205.32,205.79
9255凱基和平,10,6,4,204.15,204.1
9A9q永豐潮州,10,6,4,204.12,205.67
779e國票南科,9,5,4,205.8,206.02
9289凱基興隆,9,5,4,203.72,203.1
9A9b永豐虎尾,4,0,4,207.5,207.0
6164中信託文,47,44,3,206.11,204.19
9A9D永豐忠孝,40,37,3,205.17,203.75
9608富邦台東,12,9,3,205.22,205.27
9273凱基竹東,10,7,3,205.75,205.91
526M美好市政,8,5,3,205.69,205.3
981A元大三峽,7,4,3,204.9,206.1
585I統一員林,5,2,3,204.16,204.75
9A9c永豐永康,42,40,2,205.66,205.82
5382第一台中,30,28,2,205.66,206.86
989J元大彰生,29,27,2,207.02,205.76
8492京城嘉義,28,26,2,202.96,205.19
585c統一仁愛,16,14,2,204.68,204.51
9A9M永豐南投,16,14,2,206.2,206.39
9303華南高雄,15,13,2,204.01,206.35
9216凱基信義,14,12,2,204.19,207.21
918e群益大安,13,11,2,206.73,201.95
918J群益永和,10,8,2,205.24,204.81
