序號,券商,價格,買進股數,賣出股數
1,1020合庫,200.0,12000,0
2,1020合庫,200.5,0,1000
3,1020合庫,202.0,0,1000
4,1020合庫,202.5,0,2000
5,1020合庫,203.0,0,3000
6,1020合庫,203.5,0,1000
7,1020合庫,204.0,0,3000
8,1020合庫,204.5,0,2000
9,1020合庫,205.0,0,2200
10,1020合庫,206.0,2000,0
11,1020合庫,206.5,0,3000
12,1020合庫,207.0,1000,2150
13,1020合庫,207.5,0,1026
14,1020合庫,208.0,0,3100
15,1021合庫台中,199.0,1000,0
16,1021合庫台中,200.0,1000,0
17,1021合庫台中,201.0,100,0
18,1021合庫台中,201.5,0,1000
19,1021合庫台中,202.0,1000,1000
20,1021合庫台中,202.5,1000,1150
21,1021合庫台中,203.0,0,1100
22,1021合庫台中,203.5,0,1100
23,1021合庫台中,204.0,0,2550
24,1021合庫台中,204.5,1141,3000
25,1021合庫台中,205.0,5000,2100
26,1021合庫台中,205.5,4600,4200
27,1021合庫台中,206.0,1000,13000
28,1021合庫台中,206.5,3000,4000
29,1021合庫台中,207.0,2000,4364
30,1021合庫台中,207.5,3000,3000
31,1021合庫台中,208.0,0,4000
32,1021合庫台中,208.5,1000,0
33,1022合庫台南,199.0,1000,0
34,1022合庫台南,200.5,0,12
35,1022合庫台南,201.0,0,1000
36,1022合庫台南,201.5,0,1000
37,1022合庫台南,202.0,0,3000
38,1022合庫台南,202.5,1000,3200
39,1022合庫台南,203.5,1000,0
40,1022合庫台南,204.0,150,0
41,1022合庫台南,205.0,4000,5
42,1022合庫台南,205.5,0,24
43,1022合庫台南,206.0,2100,1000
44,1022合庫台南,206.5,3000,0
45,1022合庫台南,207.0,5000,5000
46,1022合庫台南,207.5,6000,2000
47,1023合庫高雄,199.5,10000,0
48,1023合庫高雄,200.0,11000,0
49,1023合庫高雄,201.0,1000,0
50,1023合庫高雄,202.0,0,1000
51,1023合庫高雄,202.5,0,1000
52,1023合庫高雄,203.0,10000,1000
53,1023合庫高雄,203.5,21000,0
54,1023合庫高雄,204.0,1000,3300
55,1023合庫高雄,204.5,0,15000
