母券商,買張,賣張,買賣超,均買價,均賣價
美商高盛,4185,1307,2878,205.94,204.72
台灣摩根,3428,565,2863,205.1,204.48
美林,2129,508,1621,204.34,204.54
瑞銀,1930,622,1308,204.45,203.09
國票,1098,473,625,205.87,204.95
摩根大通,374,88,286,205.21,205.39
中國信託,288,76,212,206.2,205.55
港商野村,308,153,155,206.64,204.74
康和,338,209,129,205.31,205.18
?亞網路,11,3,8,206.89,203.77
土銀,61,55,6,202.46,204.75
福邦,13,7,6,206.12,205.43
京城,38,37,1,203.67,205.7
大昌安康,4,3,1,204.88,206.67
安泰大發,3,2,1,206.95,206.0
寶盛,1,0,1,205.0,
日茂南投,3,3,0,204.17,206.17
致和東門,4,5,-1,207.75,201.9
永興,3,4,-1,206.11,206.91
致和府前,2,3,-1,207.0,205.99
光和和美,1,2,-1,207.5,205.49
日茂埔里,1,2,-1,201.5,205.25
永興大墩,1,2,-1,207.0,203.0
?亞,0,1,-1,,207.5
盈溢,0,1,-1,,203.0
盈溢籬子內,0,1,-1,,202.5
宏遠新化,12,14,-2,204.35,205.43
中農,8,10,-2,204.93,206.11
致和金華,2,4,-2,205.75,204.12
日進,0,2,-2,207.67,205.5
永興水湳,3,6,-3,205.17,207.16
日茂,2,5,-3,201.75,205.9
致和佳里,1,4,-3,202.5,206.47
安泰,26,30,-4,202.63,206.2
光和,6,11,-5,204.08,206.72
光和花壇,6,11,-5,202.25,204.85
德信和平,2,7,-5,205.75,204.71
永全南崁,12,18,-6,203.89,204.89
德信,9,15,-6,204.12,206.1
台企建成,5,12,-7,207.0,204.92
福勝,4,12,-8,204.38,205.46
口袋,44,53,-9,203.32,206.29
光和田中,0,9,-9,,206.83
新百王,10,20,-10,205.71,204.35
大展,9,19,-10,205.83,205.7
高橋內壢,1,11,-10,202.0,204.05
陽信,9,20,-11,205.67,205.22
致和,6,17,-11,204.91,206.1
彰銀七賢,1,12,-11,206.95,208.21
法銀巴黎,0,11,-11,,206.18
宏遠光隆,4,17,-13,201.41,205.73
陽信石牌,4,22,-18,205.38,203.89
中信,33,55,-22,205.14,204.94
永全,7,33,-26,202.93,204.94
北城,5,36,-31,201.6,206.1
臺銀金山,2,33,-31,205.69,206.1
6110台中銀,18,56,-38,201.2,204.29
美好,92,133,-41,205.2,204.81
高橋,24,67,-43,205.48,204.95
中銀,35,81,-46,204.34,205.2
光和溪湖,1,49,-48,205.0,204.72
亞東,12,64,-52,204.47,205.45
彰銀,9,61,-52,202.94,205.34
致和崇德,7,59,-52,204.07,204.62
宏遠,41,94,-53,205.03,205.68
d?亞鑫豐,6,65,-59,206.59,205.47
大昌,35,96,-61,204.72,204.99
企銀,41,111,-70,204.4,205.48
國泰,1539,1616,-77,205.2,205.05
港麥格理,0,77,-77,,203.95
中信託,167,249,-82,205.77,204.94
合庫,220,308,-88,204.36,205.37
聯邦,60,149,-89,204.99,205.37
第一,343,466,-123,204.66,205.46
台新,812,943,-131,205.17,204.94
新光,600,782,-182,204.65,205.17
上海匯豐,4,200,-196,207.0,207.34
臺銀,154,426,-272,204.26,205.65
永豐,1510,1823,-313,205.25,205.39
玉山,463,829,-366,204.59,205.03
元富,465,843,-378,204.2,205.23
群益,852,1254,-402,204.99,205.16
華南,499,918,-419,204.67,205.5
兆豐,647,1076,-429,204.58,204.81
花旗環球,62,555,-493,205.41,204.03
統一,790,1672,-882,205.31,205.41
元大,5249,6476,-1227,204.95,205.03
凱基,2859,4213,-1354,204.74,205.19
富邦,1388,3004,-1616,205.27,205.07
