母券商,回轉股數(FIFO),回轉張數(FIFO),已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),買股數(全日),賣股數(全日),均買價(全日),均賣價(全日),相抵後_買股數,相抵後_買張數,相抵後_買均價,相抵後_賣股數,相抵後_賣張數,相抵後_賣均價,期末淨部位(股),期末淨部位方向,期末部位均價
凱基,2858950,2859,-1145810,466651,876304,-2488764,2858950,4213118,204.74,205.19,0,0,,1354168,1354,206.99,-1354168,空,206.99
元大,5248897,5249,575126,858689,1614508,-1898070,5248897,6476436,204.95,205.03,0,0,,1227539,1228,204.92,-1227539,空,204.92
富邦,1387715,1388,-510182,227113,426521,-1163817,1387715,3003643,205.27,205.07,0,0,,1615928,1616,205.22,-1615928,空,205.22
國泰,1539236,1539,-378040,251893,473199,-1103133,1539236,1615762,205.2,205.05,0,0,,76526,77,207.03,-76526,空,207.03
台新,812141,812,-275038,132858,249526,-657422,812141,942834,205.17,204.94,0,0,,130693,131,205.61,-130693,空,205.61
統一,789514,790,-232150,129258,242792,-604200,789514,1671550,205.31,205.41,0,0,,882036,882,205.77,-882036,空,205.77
永豐,1509503,1510,155292,247304,464973,-556985,1509503,1823304,205.25,205.39,0,0,,313801,314,205.54,-313801,空,205.54
國票,472577,473,-202815,77369,145279,-425463,1097717,472577,205.87,204.95,625140,625,206.24,0,0,,625140,多,206.24
港商野村,153000,153,-236000,25092,46988,-308079,308000,153000,206.64,204.74,155000,155,207.0,0,0,,155000,多,207.0
兆豐,647266,647,9494,105672,198638,-294815,647266,1075859,204.58,204.81,0,0,,428593,429,205.14,-428593,空,205.14
