母券商,回轉股數,均買價,均賣價,價差,毛利(均價法),手續費_買,手續費_賣,證交稅,淨損益(均價法)
元富,464901,204.2,205.23,1.035,481173,37878,38070,143120,262105
華南,499088,204.67,205.5,0.827,412835,40757,40922,153843,177313
臺銀,154374,204.26,205.65,1.387,214120,12581,12667,47620,141252
合庫,220459,204.36,205.37,1.011,222983,17976,18065,67912,119030
第一,342872,204.66,205.46,0.802,275083,27998,28108,105668,113309
口袋,44063,203.32,206.29,2.976,131116,3575,3627,13635,110279
土銀,55240,202.46,204.75,2.285,126212,4462,4513,16965,100272
安泰,26020,202.63,206.2,3.567,92817,2104,2141,8048,80524
京城,37325,203.67,205.7,2.034,75915,3033,3063,11517,58302
6110台中銀,18115,201.2,204.29,3.094,56048,1454,1477,5551,47566
新光,600309,204.65,205.17,0.524,314390,49018,49144,184751,31476
企銀,40607,204.4,205.48,1.077,43746,3312,3329,12516,24589
北城,5010,201.6,206.1,4.495,22520,403,412,1549,20156
彰銀,8515,202.94,205.34,2.401,20447,689,698,2623,16438
宏遠光隆,4034,201.41,205.73,4.316,17412,324,331,1245,15512
中銀,35355,204.34,205.2,0.858,30347,2883,2895,10882,13688
德信,9030,204.12,206.1,1.98,17881,735,743,2792,13612
光和,6000,204.08,206.72,2.636,15815,489,495,1860,12971
光和花壇,6000,202.25,204.85,2.597,15581,484,490,1844,12763
永全,7000,202.93,204.94,2.008,14057,567,572,2152,10766
宏遠,41260,205.03,205.68,0.652,26911,3375,3386,12730,7420
日茂,2000,201.75,205.9,4.15,8300,161,164,618,7357
宏遠新化,12150,204.35,205.43,1.075,13057,991,996,3744,7327
永全南崁,12151,203.89,204.89,0.997,12114,989,993,3734,6398
亞東,11635,204.47,205.45,0.978,11375,949,954,3586,5886
中農,8100,204.93,206.11,1.188,9626,662,666,2504,5793
日茂南投,3000,204.17,206.17,2.0,6000,244,247,928,4581
永興水湳,3000,205.17,207.16,1.995,5984,246,248,932,4558
致和,6300,204.91,206.1,1.183,7452,515,518,1948,4471
大昌安康,3000,204.88,206.67,1.792,5375,245,247,930,3952
致和佳里,1000,202.5,206.47,3.974,3974,81,82,310,3501
日茂埔里,1000,201.5,205.25,3.75,3750,80,82,308,3280
福勝,4000,204.38,205.46,1.083,4333,326,328,1233,2446
高橋內壢,1000,202.0,204.05,2.045,2045,81,81,306,1577
永興,2700,206.11,206.91,0.804,2170,222,223,838,887
彰銀七賢,1100,206.95,208.21,1.254,1379,91,91,344,853
致和崇德,7000,204.07,204.62,0.548,3835,570,572,2149,545
臺銀金山,2056,205.69,206.1,0.419,862,169,169,636,-112
上海匯豐,4000,207.0,207.34,0.338,1350,330,331,1244,-555
光和溪湖,1000,205.0,204.72,-0.283,-283,82,82,307,-753
日進,300,207.67,205.5,-2.167,-650,25,25,92,-792
光和和美,1000,207.5,205.49,-2.006,-2006,83,82,308,-2479
安泰大發,2000,206.95,206.0,-0.955,-1909,165,164,618,-2857
致和府前,2000,207.0,205.99,-1.011,-2023,165,164,618,-2970
德信和平,2000,205.75,204.71,-1.036,-2071,164,163,614,-3013
致和金華,2000,205.75,204.12,-1.625,-3250,164,163,612,-4189
永興大墩,1000,207.0,203.0,-4.0,-4000,83,81,304,-4468
大展,9000,205.83,205.7,-0.129,-1163,739,739,2777,-5418
聯邦,60322,204.99,205.37,0.38,22938,4934,4943,18582,-5521
大昌,35160,204.72,204.99,0.266,9362,2872,2876,10811,-7197
陽信石牌,4000,205.38,203.89,-1.49,-5959,328,325,1223,-7836
福邦,7000,206.12,205.43,-0.687,-4808,576,574,2157,-8114
陽信,9000,205.67,205.22,-0.442,-3977,739,737,2771,-8223
d?亞鑫豐,5560,206.59,205.47,-1.121,-6232,458,456,1714,-8860
?亞網路,3150,206.89,203.77,-3.119,-9825,260,256,963,-11304
台企建成,5000,207.0,204.92,-2.083,-10417,413,409,1537,-12775
玉山,462684,204.59,205.03,0.44,203492,37770,37851,142297,-14426
新百王,10070,205.71,204.35,-1.358,-13673,827,821,3087,-18408
中信,33480,205.14,204.94,-0.204,-6845,2740,2738,10292,-22615
高橋,24000,205.48,204.95,-0.53,-12712,1968,1963,7378,-24020
致和東門,4000,207.75,201.9,-5.85,-23400,332,322,1211,-25265
摩根大通,88000,205.21,205.39,0.176,15529,7205,7212,27111,-25998
凱基,2858950,204.74,205.19,0.451,1288061,233554,234068,879954,-59515
美好,92400,205.2,204.81,-0.398,-36753,7565,7551,28386,-80256
中國信託,75525,206.2,205.55,-0.641,-48434,6214,6194,23287,-84129
花旗環球,62000,205.41,204.03,-1.383,-85725,5081,5047,18975,-114828
康和,209450,205.31,205.18,-0.137,-28792,17158,17147,64461,-127558
美林,508000,204.34,204.54,0.201,101894,41417,41458,155857,-136838
兆豐,647266,204.58,204.81,0.233,150703,52834,52894,198850,-153874
中信託,166638,205.77,204.94,-0.837,-139463,13682,13626,51225,-217996
群益,852321,204.99,205.16,0.169,144394,69713,69771,262296,-257386
統一,789514,205.31,205.41,0.106,83342,64675,64709,243265,-289308
港商野村,153000,206.64,204.74,-1.904,-291357,12615,12499,46988,-363458
永豐,1509503,205.25,205.39,0.136,204560,123621,123703,465047,-507811
台新,812141,205.17,204.94,-0.23,-186758,66484,66409,249659,-569309
台灣摩根,565000,205.1,204.48,-0.62,-350055,46236,46096,173294,-615682
國票,472577,205.87,204.95,-0.921,-435056,38818,38644,145279,-657797
富邦,1387715,205.27,205.07,-0.197,-273186,113658,113549,426877,-927271
國泰,1539236,205.2,205.05,-0.147,-226349,126022,125932,473427,-951730
瑞銀,622000,204.45,203.09,-1.368,-850995,50741,50401,189478,-1141615
元大,5248897,204.95,205.03,0.082,432550,429230,429402,1614294,-2040376
美商高盛,1307000,205.94,204.72,-1.22,-1594452,107398,106762,401361,-2209973
?亞,0,,207.5,,,,0,0,
光和田中,0,,206.83,,,,0,0,
寶盛,0,205.0,,,,0,,,
法銀巴黎,0,,206.18,,,,0,0,
港麥格理,0,,203.95,,,,0,0,
盈溢,0,,203.0,,,,0,0,
盈溢籬子內,0,,202.5,,,,0,0,
