母券商,買股數(全日),賣股數(全日),買超股數,買超張數,賣超股數,賣超張數,回轉張數(FIFO),已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),期末淨部位(股),期末淨部位方向,均買價(全日),均賣價(全日)
美商高盛,4185000,1307000,2878000,2878,-2878000,-2878,1307,1419500,212958,401361,805181,2878000,多,205.94,204.72
台灣摩根,3428000,565000,2863000,2863,-2863000,-2863,565,1438500,91619,173294,1173587,2863000,多,205.1,204.48
美林,2129131,508000,1621131,1621,-1621131,-1621,508,1904810,82156,155857,1666798,1621131,多,204.34,204.54
瑞銀,1930000,622000,1308000,1308,-1308000,-1308,622,362500,100658,189478,72364,1308000,多,204.45,203.09
國票,1097717,472577,625140,625,-625140,-625,473,-202815,77369,145279,-425463,625140,多,205.87,204.95
摩根大通,374000,88000,286000,286,-286000,-286,88,223000,14334,27111,181555,286000,多,205.21,205.39
中國信託,288282,75525,212757,213,-212757,-213,76,96429,12350,23287,60792,212757,多,206.2,205.55
港商野村,308000,153000,155000,155,-155000,-155,153,-236000,25092,46988,-308079,155000,多,206.64,204.74
康和,338224,209450,128774,129,-128774,-129,209,49028,34274,64461,-49707,128774,多,205.31,205.18
?亞網路,11250,3150,8100,8,-8100,-8,3,-8425,516,963,-9903,8100,多,206.89,203.77
